id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
1003,SIEMENS,Sep 2023,10.03375268487266,12.718625345197914,14.991976770841292,0.01337204859784519,129.69565217391303,0.9033539684006283,641.0,759.0,55.0,18.4324,18.0,175,1400.0
1004,SIEMENS,Sep 2024,12.221223021582734,13.956834532374101,17.698769290877124,0.018167610861496385,67.15,0.8790861298865568,1168.0,502.0,76.0,21.6296,16.0,279,1670.0
1005,SUNPHARMA,Mar 2013,31.165214266463032,42.979067469230074,23.142094729819878,0.01734489659773182,109.16279069767442,0.5462531285272612,982.0,2375.0,14.0,14.4135,9.0,260,3357.0
1006,SUNPHARMA,Mar 2014,24.12313432835821,43.55099502487562,20.939271255060728,0.13824561403508773,114.43181818181819,0.5526722804605603,1783.0,2176.0,15.0,8.9493,10.0,2561,3959.0
1007,SUNPHARMA,Mar 2015,19.99123831775701,28.818633177570092,21.358920352601608,0.35088540447772837,14.122625215889464,0.5621985509923445,4114.0,1502.0,22.0,12.3855,14.0,8996,5616.0
1008,SUNPHARMA,Mar 2016,19.861691297784954,28.693790149892934,17.154291604766094,0.25761756056150137,15.548757170172085,0.5139460200620625,2737.0,3949.0,19.0,13.6859,5.0,8497,6686.0
1009,SUNPHARMA,Mar 2017,24.846412059028438,31.99062638545823,21.413755458515286,0.2683406113537118,26.78,0.5168671740731647,2896.0,4186.0,29.0,15.2667,12.0,9832,7082.0
1010,SUNPHARMA,Mar 2018,9.596436256559326,21.257880629695343,6.634650519392389,0.2710497468288354,10.61003861003861,0.4119787859464672,803.0,3104.0,9.0,15.9642,23.0,10385,3907.0
1011,SUNPHARMA,Mar 2019,11.036950388770386,21.939723388151105,7.747108116593012,0.25390615566664254,11.025225225225226,0.4500077411363988,1886.0,310.0,11.0,17.2538,25.0,10514,2196.0
1012,SUNPHARMA,Mar 2020,12.704793227358548,21.264997868323285,9.216834198608197,0.18369601237158953,24.306930693069308,0.48153796521688125,4330.0,2225.0,16.0,18.8604,25.0,8315,6555.0
1013,SUNPHARMA,Mar 2021,6.782494477282226,25.285091647262526,4.889912403417773,0.08327055936982115,35.60992907801418,0.4953713288574724,6577.0,407.0,12.0,19.3596,62.0,3869,6170.0
1014,SUNPHARMA,Mar 2022,8.767527293423708,26.538003828840484,7.0587990252233865,0.02686884255691404,53.173228346456696,0.5539727126805778,3429.0,5556.0,14.0,20.0046,73.0,1290,8985.0
1015,SUNPHARMA,Mar 2023,19.39798569019733,26.546051132479608,15.20314313778016,0.12297526564871863,70.40116279069767,0.5437357518089008,-2261.0,7220.0,35.0,23.3313,33.0,6886,4959.0
1016,SUNPHARMA,Mar 2024,19.815658700538176,26.84289749881436,15.094161810671148,0.051423814535002436,58.331932773109244,0.5684929901064378,11372.0,763.0,40.0,26.5279,34.0,3274,12135.0
1017,TATACONSUM,Mar 2013,6.0535981499115765,10.474765338049245,9.251559251559252,0.28877338877338876,9.833333333333334,0.835910848305663,197.0,24.0,6.0,7.7581,36.0,1389,173.0
1018,TATACONSUM,Mar 2014,6.590850348927371,9.7182734556733,8.719439220379552,0.24585399213540776,10.597701149425287,0.7807486631016043,421.0,1.0,7.0,9.4339,29.0,1438,422.0
1019,TATACONSUM,Mar 2015,3.415488552483423,9.908670086325534,4.96996176952485,0.24103404332787184,8.71951219512195,0.8451046732924509,211.0,207.0,4.0,8.8597,6.0,1324,418.0
1020,TATACONSUM,Mar 2016,-0.5574807895133344,5.514539701672443,-0.5922842964623019,0.21674403713782617,3.452991452991453,0.6707427993936331,261.0,145.0,0.0,9.9159,-999.0,1354,116.0
1021,TATACONSUM,Mar 2017,6.710914454277287,11.666666666666666,7.262569832402235,0.12561851556264964,20.441860465116278,0.7098733116951105,886.0,145.0,6.0,9.9444,38.0,787,741.0
1022,TATACONSUM,Mar 2018,8.158473954512106,12.311078503301541,7.907836723083488,0.1518987341772152,17.53846153846154,0.6514673549373865,325.0,31.0,8.0,11.1603,30.0,1068,356.0
1023,TATACONSUM,Mar 2019,6.301709873138445,10.83838940981798,6.232951445717403,0.15561920349154393,11.666666666666666,0.6664828600312471,263.0,53.0,6.0,11.6381,39.0,1141,210.0
1024,TATACONSUM,Mar 2020,4.77326968973747,13.406661824219155,3.329714078899747,0.11480275063336953,16.36231884057971,0.5216802901531965,460.0,622.0,5.0,15.0163,54.0,1586,1082.0
1025,TATACONSUM,Mar 2021,8.015859334597483,13.308050336148941,6.398789046374019,0.11242603550295859,22.397260273972602,0.5738450885349689,1310.0,346.0,9.0,15.7978,44.0,1634,1656.0
1026,TATACONSUM,Mar 2022,8.169014084507042,13.835010060362174,6.703209615638621,0.09325056135252939,20.770114942528735,0.5895610913404508,199.0,1317.0,10.0,16.4587,60.0,1412,1516.0
1027,TATACONSUM,Mar 2023,9.577015163607342,13.465863745193355,8.109602506604412,0.09829821220126558,16.8,0.6055267551181794,627.0,834.0,12.0,17.5022,65.0,1600,1461.0
1028,TATACONSUM,Mar 2024,7.9902669998684726,15.020386689464685,7.566793298872766,0.21654107242947002,25.32183908045977,0.5454284586965099,26.0,1911.0,12.0,16.9021,64.0,3477,1937.0
1029,TATAMOTORS,Mar 2013,5.284094219595007,13.02802540348424,26.505832026994714,1.427212583362117,6.968820224719101,1.1215647834610587,-806.0,22969.0,35.0,5.8992,6.0,53716,22163.0
1030,TATAMOTORS,Mar 2014,6.034342063444342,14.96903373218688,21.416377050179864,0.9243643680263398,7.305959149294588,1.0659628432512613,8160.0,27991.0,48.0,10.187,5.0,60642,36151.0
1031,TATAMOTORS,Mar 2015,5.347717539586334,14.910757374819026,25.013330489495573,1.3083431090256301,8.219090722073647,1.10890167077513,-701.0,36232.0,48.0,8.7363,0.0,73610,35531.0
1032,TATAMOTORS,Mar 2016,4.276935021937695,14.061733187814507,14.791265579086026,0.8785084608369642,7.307220290447944,1.0374718827892273,1206.0,36694.0,40.0,11.6277,1.0,69360,37900.0
1033,TATAMOTORS,Mar 2017,2.8020749518897414,10.971363735803303,13.015397333884469,1.3537942199717543,7.422840962718263,0.9894086139848852,-9372.0,39571.0,26.0,8.5511,0.0,78604,30199.0
1034,TATAMOTORS,Mar 2018,3.1181615503344196,10.789915966386554,9.526554051221863,0.9321163599782034,7.986117043998291,0.8910670187535148,-1282.0,25139.0,31.0,14.0542,0.0,88950,23857.0
1035,TATAMOTORS,Mar 2019,-9.513211321529585,8.16856440726242,-47.73093604081158,1.7643197793250136,-0.35110262198298314,0.9876841247877842,-1987.0,20878.0,-100.0,8.8629,0.0,106175,18891.0
1036,TATAMOTORS,Mar 2020,-4.586927543781696,6.889775843841452,-18.984131010320393,1.9782812029360008,2.4974458097473424,0.8153813960315949,-6482.0,33115.0,-39.0,8.761,0.0,124788,26633.0
1037,TATAMOTORS,Mar 2021,-5.362397165675854,12.92539882703817,-24.245660397849658,2.5726464785418215,2.6144250957144624,0.7313142254881869,3329.0,25672.0,-41.0,7.2124,0.0,142131,29001.0
1038,TATAMOTORS,Mar 2022,-4.061353042154179,8.877588398801956,-25.378694374004173,3.2864836965059134,2.9149484536082473,0.846207845961691,9839.0,4444.0,-34.0,5.8174,0.0,146449,14283.0
1039,TATAMOTORS,Mar 2023,0.7775308049611668,9.196252821800924,5.935307356250828,2.9591147786946737,3.763325183374083,1.0337432845097019,19971.0,15417.0,7.0,5.9167,32.0,134113,35388.0
1040,TATAMOTORS,Mar 2024,7.263066074788551,13.595385542828959,37.45613415294755,1.2631244259167667,6.530242339274985,1.1851234435931923,45133.0,22782.0,94.0,11.0859,7.0,107262,67915.0
1041,TATAPOWER,Mar 2013,0.37073876480694457,16.864092594267113,0.9971625456019456,3.0710985002026754,2.259651778955337,0.49328694410990676,-740.0,4026.0,0.0,5.2046,-319.0,37882,3286.0
1042,TATAPOWER,Mar 2014,0.033588982813637126,19.35845042825953,0.0967663898072736,3.2394968147730023,2.07703488372093,0.5004833083507277,2874.0,3609.0,-1.0,5.2325,-114.0,40173,6483.0
1043,TATAPOWER,Mar 2015,1.3604024647992141,18.756883874616737,3.1917865623690456,2.836080458164548,1.9889159232224927,0.4468045487796768,2116.0,3865.0,1.0,5.303,210.0,40607,5981.0
1044,TATAPOWER,Mar 2016,2.664948803146403,7.137044822675799,6.7566405914209575,3.3395512765408752,1.9051297898640296,0.42100004282227327,5610.0,1805.0,2.0,4.3085,53.0,38849,7415.0
1045,TATAPOWER,Mar 2017,3.9872408293460926,19.838335508191967,8.32450431360678,3.694187982442864,2.011887072808321,0.33307175023240654,-359.0,7373.0,3.0,4.8941,39.0,48815,7014.0
1046,TATAPOWER,Mar 2018,9.728017883755587,8.550670640834575,15.921702542837979,2.962924568571254,2.3613400691305504,0.32774874224588485,4852.0,1512.0,9.0,6.0737,15.0,48589,6364.0
1047,TATAPOWER,Mar 2019,8.721261001974499,10.27408721261002,14.236547391423107,2.649877082764272,2.4594724220623503,0.3554173159040358,4302.0,272.0,9.0,6.7796,15.0,48506,4574.0
1048,TATAPOWER,Mar 2020,4.516749038989566,23.355985722130697,6.725953184094859,2.6544004906470406,2.021584334668447,0.3249102303900796,6882.0,493.0,4.0,7.2467,41.0,51936,7375.0
1049,TATAPOWER,Mar 2021,4.400207931994006,21.163196037060818,6.446266182860727,2.092371097074766,2.1685785536159603,0.3314885206020982,9338.0,993.0,4.0,6.9759,44.0,46708,8345.0
1050,TATAPOWER,Mar 2022,5.035500747384155,16.421431240657697,9.606986899563319,2.281213795561893,2.466182948950505,0.38041759218125276,443.0,6250.0,5.0,7.0131,32.0,51195,6693.0
1051,TATAPOWER,Mar 2023,6.913571285996843,14.023117821045563,13.234681117132139,1.8383701542309296,3.0347666971637692,0.43021640019985014,-97.0,7263.0,10.0,8.9962,19.0,52923,7166.0
